Customer ID,Customer Name,Segment,City,Region,State
AA-10315,Alex Avila,Consumer,Minneapolis,Midwest,Minnesota
AA-10315,Alex Avila,Consumer,Round Rock,South,Texas
AA-10375,Allen Armold,Consumer,Atlanta,South,Georgia
AA-10375,Allen Armold,Consumer,Mesa,West,Arizona
AA-10375,Allen Armold,Consumer,New York City,Northeast,New York
AA-10375,Allen Armold,Consumer,Providence,Northeast,Rhode Island
AA-10480,Andrew Allen,Consumer,Concord,South,North Carolina
AA-10480,Andrew Allen,Consumer,Detroit,Midwest,Michigan
AA-10480,Andrew Allen,Consumer,Springfield,Midwest,Missouri
AA-10645,Anna Andreadi,Consumer,Georgetown,South,Kentucky
AA-10645,Anna Andreadi,Consumer,San Diego,West,California
AA-10645,Anna Andreadi,Consumer,San Francisco,West,California
AB-10015,Aaron Bergman,Consumer,Oklahoma City,South,Oklahoma
AB-10060,Adam Bellavance,Home Office,Concord,Northeast,New Hampshire
AB-10060,Adam Bellavance,Home Office,Greenwood,Midwest,Indiana
AB-10060,Adam Bellavance,Home Office,Los Angeles,West,California
AB-10060,Adam Bellavance,Home Office,New York City,Northeast,New York
AB-10060,Adam Bellavance,Home Office,Philadelphia,Northeast,Pennsylvania
AB-10060,Adam Bellavance,Home Office,Seattle,West,Washington
AB-10060,Adam Bellavance,Home Office,Waynesboro,South,Virginia
AB-10105,Adrian Barton,Consumer,Bloomington,Midwest,Illinois
AB-10105,Adrian Barton,Consumer,Detroit,Midwest,Michigan
AB-10105,Adrian Barton,Consumer,Henderson,South,Kentucky
AB-10105,Adrian Barton,Consumer,New York City,Northeast,New York
AB-10105,Adrian Barton,Consumer,Pearland,South,Texas
AB-10105,Adrian Barton,Consumer,Phoenix,West,Arizona
AB-10105,Adrian Barton,Consumer,Portland,West,Oregon
AB-10150,Aimee Bixby,Consumer,Carrollton,South,Texas
AB-10150,Aimee Bixby,Consumer,Dallas,South,Texas
AB-10150,Aimee Bixby,Consumer,Long Beach,Northeast,New York
AB-10165,Alan Barnes,Consumer,Bellevue,West,Washington
AB-10165,Alan Barnes,Consumer,Lakewood,West,California
AB-10165,Alan Barnes,Consumer,Lebanon,South,Tennessee
AB-10165,Alan Barnes,Consumer,Toledo,Midwest,Ohio
AB-10255,Alejandro Ballentine,Home Office,Carlsbad,West,New Mexico
AB-10255,Alejandro Ballentine,Home Office,Jackson,South,Mississippi
AB-10255,Alejandro Ballentine,Home Office,Lorain,Midwest,Ohio
AB-10255,Alejandro Ballentine,Home Office,Los Angeles,West,California
AB-10255,Alejandro Ballentine,Home Office,Plano,South,Texas
AB-10255,Alejandro Ballentine,Home Office,Seattle,West,Washington
AB-10600,Ann Blume,Corporate,Tucson,West,Arizona
AC-10420,Alyssa Crouse,Corporate,Houston,South,Texas
AC-10420,Alyssa Crouse,Corporate,Philadelphia,Northeast,Pennsylvania
AC-10450,Amy Cox,Consumer,Lafayette,South,Louisiana
AC-10450,Amy Cox,Consumer,Minneapolis,Midwest,Minnesota
AC-10450,Amy Cox,Consumer,Pembroke Pines,South,Florida
AC-10450,Amy Cox,Consumer,Seattle,West,Washington
AC-10615,Ann Chong,Corporate,Beaumont,South,Texas
AC-10615,Ann Chong,Corporate,New York City,Northeast,New York
AC-10615,Ann Chong,Corporate,Rochester,Northeast,New York
