Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Warehouse,Current_Stock,Reorder_Level,Lead_Time_Days,Order_Date,Ship_Date
4918,CA-2019-160304,01-01-2019,07-01-2019,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,South,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",73.94,1,28.2668,Warehouse_South,152,50,7,01-Jan-2019,01-Jul-2019
4919,CA-2019-160304,02-01-2019,07-01-2019,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,South,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",173.94,3,38.2668,Warehouse_South,485,161,9,01-Feb-2019,01-Jul-2019
4920,CA-2019-160304,02-01-2019,07-01-2019,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,South,TEC-PH-10000455,Technology,Phones,GE 30522EE2,231.98,2,67.2742,Warehouse_South,398,132,2,01-Feb-2019,01-Jul-2019
3074,CA-2019-125206,03-01-2019,05-01-2019,First Class,LR-16915,Lena Radford,Consumer,United States,Los Angeles,California,West,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,114.46,2,28.615,Warehouse_West,320,106,9,01-Mar-2019,01-May-2019
8604,US-2019-116365,03-01-2019,08-01-2019,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,South,TEC-AC-10002217,Technology,Accessories,Imation Clip USB flash drive - 8 GB,30.08,2,-5.264,Warehouse_South,156,52,7,01-Mar-2019,01-Aug-2019
8605,US-2019-116365,03-01-2019,08-01-2019,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,South,TEC-AC-10002942,Technology,Accessories,WD My Passport Ultra 1TB Portable External Hard Drive,165.6,3,-6.21,Warehouse_South,121,40,7,01-Mar-2019,01-Aug-2019
8606,US-2019-116365,03-01-2019,08-01-2019,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,South,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,180.96,5,13.572,Warehouse_South,238,79,2,01-Mar-2019,01-Aug-2019
9494,CA-2019-105207,03-01-2019,08-01-2019,Standard Class,BO-11350,Bill Overfelt,Corporate,United States,Broken Arrow,Oklahoma,South,FUR-TA-10000617,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",1592.85,7,350.427,Warehouse_South,70,23,8,01-Mar-2019,01-Aug-2019
9495,CA-2019-105207,03-01-2019,08-01-2019,Standard Class,BO-11350,Bill Overfelt,Corporate,United States,Broken Arrow,Oklahoma,South,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,11.88,2,5.346,Warehouse_South,152,50,4,01-Mar-2019,01-Aug-2019
2898,US-2019-164630,04-01-2019,09-01-2019,Standard Class,EB-13975,Erica Bern,Corporate,United States,Charlotte,North Carolina,South,TEC-CO-10000971,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,959.968,4,119.996,Warehouse_South,171,57,7,01-Apr-2019,01-Sep-2019
5868,CA-2019-158211,04-01-2019,08-01-2019,Standard Class,BP-11185,Ben Peterman,Corporate,United States,Philadelphia,Pennsylvania,Northeast,OFF-AR-10004078,Office Supplies,Art,Newell 312,4.672,1,0.584,Warehouse_Northeast,264,88,4,01-Apr-2019,01-Aug-2019
5869,CA-2019-158211,04-01-2019,08-01-2019,Standard Class,BP-11185,Ben Peterman,Corporate,United States,Philadelphia,Pennsylvania,Northeast,OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders,104.58,6,-80.178,Warehouse_Northeast,380,126,7,01-Apr-2019,01-Aug-2019
863,CA-2019-134474,05-01-2019,07-01-2019,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,TEC-AC-10001714,Technology,Accessories,Logitech MX Performance Wireless Mouse,191.472,6,40.6878,Warehouse_South,137,45,6,01-May-2019,01-Jul-2019
864,CA-2019-134474,05-01-2019,07-01-2019,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,OFF-AR-10003958,Office Supplies,Art,Newell 337,5.248,2,0.5904,Warehouse_South,422,140,2,01-May-2019,01-Jul-2019
865,CA-2019-134474,05-01-2019,07-01-2019,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,TEC-PH-10002923,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",59.184,2,5.1786,Warehouse_South,149,49,7,01-May-2019,01-Jul-2019
2162,CA-2019-101938,07-01-2019,12-01-2019,Standard Class,DW-13480,Dianna Wilson,Home Office,United States,Oakland,California,West,OFF-AR-10003696,Office Supplies,Art,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,34.58,1,10.0282,Warehouse_West,409,136,6,01-Jul-2019,01-Dec-2019
8031,CA-2019-158806,07-01-2019,11-01-2019,Standard Class,NM-18520,Neoma Murray,Consumer,United States,Amarillo,Texas,South,FUR-FU-10004270,Furniture,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",23.076,3,-10.9611,Warehouse_South,201,67,9,01-Jul-2019,01-Nov-2019
8032,CA-2019-158806,07-01-2019,11-01-2019,Standard Class,NM-18520,Neoma Murray,Consumer,United States,Amarillo,Texas,South,OFF-PA-10004621,Office Supplies,Paper,Xerox 212,25.92,5,9.072,Warehouse_South,180,60,5,01-Jul-2019,01-Nov-2019
6851,US-2019-100461,08-01-2019,12-01-2019,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,Franklin,Wisconsin,Midwest,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1565.88,6,407.1288,Warehouse_Midwest,199,66,6,01-Aug-2019,01-Dec-2019
6852,US-2019-100461,08-01-2019,12-01-2019,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,Franklin,Wisconsin,Midwest,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,106.05,7,49.8435,Warehouse_Midwest,358,119,3,01-Aug-2019,01-Dec-2019
7808,US-2019-137295,08-01-2019,13-01-2019,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina,South,OFF-BI-10004236,Office Supplies,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",30.828,7,-24.6624,Warehouse_South,307,102,7,01-Aug-2019,13-Jan-2019
7809,US-2019-137295,08-01-2019,13-01-2019,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina,South,OFF-AR-10001955,Office Supplies,Art,Newell 319,47.616,3,5.952,Warehouse_South,393,131,6,01-Aug-2019,13-Jan-2019
7810,US-2019-137295,08-01-2019,13-01-2019,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina,South,TEC-PH-10004080,Technology,Phones,Avaya 5410 Digital phone,108.784,2,10.8784,Warehouse_South,463,154,4,01-Aug-2019,13-Jan-2019
3209,CA-2019-108882,09-01-2019,15-01-2019,Standard Class,LA-16780,Laura Armstrong,Corporate,United States,Fresno,California,West,TEC-AC-10000420,Technology,Accessories,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,349.95,5,118.983,Warehouse_West,343,114,5,01-Sep-2019,15-Jan-2019
3210,CA-2019-108882,09-01-2019,15-01-2019,Standard Class,LA-16780,Laura Armstrong,Corporate,United States,Fresno,California,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,377.928,9,141.723,Warehouse_West,435,145,8,01-Sep-2019,15-Jan-2019
3702,CA-2019-126543,09-01-2019,13-01-2019,Second Class,MF-17665,Maureen Fritzler,Corporate,United States,Toledo,Ohio,Midwest,FUR-FU-10002445,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",15.168,2,3.792,Warehouse_Midwest,241,80,7,01-Sep-2019,13-Jan-2019
4667,CA-2019-116547,10-01-2019,17-01-2019,Standard Class,KB-16585,Ken Black,Corporate,United States,Seattle,Washington,West,FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,79.92,4,34.3656,Warehouse_West,493,164,3,01-Oct-2019,17-Jan-2019
4668,CA-2019-116547,10-01-2019,17-01-2019,Standard Class,KB-16585,Ken Black,Corporate,United States,Seattle,Washington,West,TEC-AC-10002335,Technology,Accessories,Logitech Media Keyboard K200,69.98,2,13.2962,Warehouse_West,326,108,8,01-Oct-2019,17-Jan-2019
6970,CA-2019-163937,10-01-2019,13-01-2019,Second Class,JB-16000,Joy Bell-,Consumer,United States,Longview,Washington,West,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",24.85,5,7.7035,Warehouse_West,210,70,6,01-Oct-2019,13-Jan-2019
1026,CA-2019-126529,11-01-2019,13-01-2019,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio,Midwest,OFF-PA-10001166,Office Supplies,Paper,Xerox 2,15.552,3,5.4432,Warehouse_Midwest,363,121,8,01-Nov-2019,13-Jan-2019
1027,CA-2019-126529,11-01-2019,13-01-2019,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio,Midwest,OFF-PA-10003656,Office Supplies,Paper,Xerox 1935,63.312,3,20.5764,Warehouse_Midwest,71,23,8,01-Nov-2019,13-Jan-2019
1028,CA-2019-126529,11-01-2019,13-01-2019,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio,Midwest,TEC-PH-10000148,Technology,Phones,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,15.588,2,-9.8724,Warehouse_Midwest,302,100,5,01-Nov-2019,13-Jan-2019
8522,CA-2019-141887,11-01-2019,15-01-2019,Standard Class,MP-17470,Mark Packer,Home Office,United States,Columbus,Ohio,Midwest,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,54.992,14,8.9362,Warehouse_Midwest,285,95,9,01-Nov-2019,15-Jan-2019
7269,CA-2019-133368,14-01-2019,20-01-2019,Standard Class,AG-10675,Anna Gayman,Consumer,United States,Concord,North Carolina,South,OFF-PA-10004039,Office Supplies,Paper,Xerox 1882,89.568,2,32.4684,Warehouse_South,394,131,8,14-Jan-2019,20-Jan-2019
